Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.63067626953125,153.73589024457866,151.44033118239196,151.8707466822009,22622100
2020-01-03,151.7177276611328,152.98985514697523,151.1820981081067,151.43079368259075,21116200
2020-01-06,152.1099090576172,152.17687005744125,149.6995611757637,150.24476499211673,20813700
2020-01-07,150.72300720214844,152.72205866444048,150.47432619268653,152.38729745110476,21634100
2020-01-08,153.123779296875,153.80289050832155,151.07690065528672,152.01425247568935,27746500
2020-01-09,155.03672790527344,155.16107568797648,154.02285563193848,154.7976065353431,21385000
2020-01-10,154.31935119628906,156.11754842169302,154.16631002927403,155.73496009896448,20725900
2020-01-13,156.17494201660156,156.2036354123162,154.24283733456213,154.72108005621874,21626500
2020-01-14,155.07501220703125,156.48104718130796,154.6828496153352,156.28017878720624,23477400
2020-01-15,156.0792999267578,156.80623826160584,155.49585777140354,155.5436703714871,21417900
2020-01-16,158.93919372558594,159.0061547160705,156.89231534012578,157.19839770552304,23865400
2020-01-17,159.8287353515625,160.18263032167818,158.23139169850742,160.13480312697885,34371700
2020-01-21,159.2548370361328,160.87129987935694,159.187876045083,159.42699742201413,29517200
2020-01-22,158.48963928222656,160.20175644469933,158.47050548630122,160.1156616604403,24138800
2020-01-23,159.46527099609375,159.54179159095884,158.07836987684018,158.95833482557217,19680800
2020-01-24,157.8583526611328,160.24000669202326,157.2940297469041,160.22087289642624,24918100
2020-01-27,155.21844482421875,156.27058457014672,153.22895350134215,154.13761168474804,32078100
2020-01-28,158.26011657714844,158.5470505863381,155.97411653679322,156.65321315162507,24899900
2020-01-29,160.72781372070312,161.40692483357122,158.48008159842541,160.5365195435661,34754500
2020-01-30,165.2615966796875,166.47633759495406,163.35818489866455,166.47633759495406,51597500
2020-01-31,162.82254028320312,164.89811229251626,162.20083047852478,164.71639228739747,36142700
2020-02-03,166.7919158935547,166.90668946238802,162.98509378609359,163.01378717830192,30107000
2020-02-04,172.2821502685547,172.77952677664373,168.63794313049974,169.4318277854927,36433300
2020-02-05,172.07171630859375,176.18460641616042,170.64656241415017,176.0220056507787,39186300
2020-02-06,175.639404296875,175.8211388431701,172.22474469284452,173.09514983835908,27751400
2020-02-07,175.8881072998047,177.55239722258293,174.53945932418142,174.89336886209983,33529100
2020-02-10,180.48880004882812,180.62270742696205,175.2759573070881,175.59159925443439,35844300
2020-02-11,176.4142303466797,182.40182576133893,175.51513142546077,182.35399855588417,53159900
2020-02-12,176.6724395751953,177.7628324394835,173.9368905163937,177.5045772731281,47062900
2020-02-13,175.71597290039062,178.12630606163927,174.91251391849596,175.11338231267257,35295800
2020-02-14,177.28457641601562,177.34196320539263,174.70205413557784,175.27595121896604,23149500
2020-02-18,179.082763671875,179.53231299331577,177.4280479580581,177.53326193956144,27792200
2020-02-19,179.61988830566406,180.48307072885922,178.84302119785332,180.36798364167998,29997500
2020-02-20,176.8768310546875,179.59107983858217,173.69263367105043,179.3033475447501,36862400
2020-02-21,171.2853240966797,175.99449922309105,170.00013617053344,175.67799509775494,48572600
2020-02-24,163.90023803710938,167.4105398311227,156.5535446784054,160.90785729974584,68311100
2020-02-25,161.1956329345703,167.68871686663527,160.7927988334564,167.0748946366338,68073300
2020-02-26,163.209716796875,166.17332632051043,161.32989277531036,162.76853988014406,56206100
2020-02-27,151.71009826660156,160.19812050577536,151.51828161420713,156.63987550464046,93174900
2020-02-28,155.38348388671875,157.01396242714807,145.78291680507826,146.1761505535195,97012700
2020-03-02,165.72251892089844,165.84720633040615,155.67117707396633,158.5484707604092,71030800
2020-03-03,157.7812042236328,167.84214735347513,155.62323375765956,166.69123269855749,71677000
2020-03-04,163.57412719726562,163.71798600854282,158.84576759279113,161.5983881374826,49814400
2020-03-05,159.46920776367188,163.881049207584,158.9129292400471,159.2582050604117,47817300
2020-03-06,154.96148681640625,156.43849144900216,149.61930338252688,155.95894239969917,72821100
2020-03-09,144.4593048095703,151.2976767525422,143.86466886137134,144.8237666537805,70419300
2020-03-10,154.33804321289062,154.4435445747292,146.33916967424355,151.69093809040504,65354400
2020-03-11,147.3462371826172,151.24975861166106,144.96766349653458,150.70308033661266,56371600
2020-03-12,133.3721466064453,147.19275033694996,132.911783729502,139.35692254539663,93226400
2020-03-13,152.33352661132812,155.28755000416908,134.97384815229282,141.46694526309378,92727400
2020-03-16,129.8810577392578,143.24130134671302,129.47823830956682,134.27372861732857,87905900
2020-03-17,140.57498168945312,141.4669356830153,129.4782123200479,134.27370166523488,81059800
2020-03-18,134.6573486328125,140.02830309868634,129.49741152500056,132.35551936725145,81593200
2020-03-19,136.87290954589844,144.00858780783528,133.31464881103662,136.9304530959232,85922700
2020-03-20,131.7321014404297,141.0833058959737,130.30304031156192,140.02829235994076,84866200
2020-03-23,130.41815185546875,134.82042313244085,127.09968071864685,131.4060216997835,78975200
2020-03-24,142.27261352539062,143.4810865390656,135.49179733566064,137.87035660759895,82516700
2020-03-25,140.91065979003906,148.01757864443326,138.53210112818718,142.81926985349074,75638200
2020-03-26,149.72479248046875,150.25229931837853,142.3013685375389,142.33014030736356,64568100
2020-03-27,143.57696533203125,148.55468621241698,143.09741633985033,145.54311912690778,57042300
2020-03-30,153.67623901367188,154.03111515729233,143.874258159953,146.20487346367648,63420300
2020-03-31,151.2593231201172,158.04013707456528,150.15635185004302,152.88018613731387,77927200
2020-04-01,145.8883514404297,151.29766187221762,144.65112184916026,146.74194780633468,57969900
2020-04-02,148.90953063964844,149.1205333426893,144.20995691120478,145.64860372211677,49630700
2020-04-03,147.53807067871094,150.9428720498707,145.9651502926816,148.75612943111472,41243300
2020-04-06,158.51011657714844,159.6898029153916,151.13465126611513,153.7625848228146,67111700
2020-04-07,156.8029022216797,163.046623536875,156.58229919404917,162.6533899324945,62769000
2020-04-08,158.3758544921875,159.8528589455974,156.8125200980229,158.8937609633465,48318200
2020-04-09,158.3854522705078,160.52423683616715,156.64948713192277,159.5555530687748,51385100
2020-04-13,158.74029541015625,158.79785357990986,155.66159920596942,157.6277529176978,41905300
2020-04-14,166.5953369140625,166.64329474596047,161.12848067523086,162.08757877448818,52874300
2020-04-15,164.84976196289062,166.47063985600258,162.3177439351832,164.19756774039672,40940800
2020-04-16,169.7987060546875,170.02889484665954,165.82804085988397,167.1707868610428,50479600
2020-04-17,171.29490661621094,172.6376379463687,168.67655857039247,172.15808895207323,52765600
2020-04-20,167.8997039794922,171.43877816112152,167.8325747253482,169.40549495777512,36669600
2020-04-21,160.955810546875,166.56652426997513,159.3157467603245,166.40347938927022,56203700
2020-04-22,166.4226837158203,166.8830466433347,163.83312212587572,164.37980035829773,34620200
2020-04-23,164.40858459472656,167.89970088203373,163.91944986181548,166.98856066911716,32790800
2020-04-24,167.4105682373047,167.42015394936084,163.72763522260394,165.02240881458042,34277600
2020-04-27,166.9310302734375,169.6644511274354,166.21170668533134,169.36713305256632,33194400
2020-04-28,162.8644256591797,168.4847404079508,162.46160626369866,168.40801081338196,34392700
2020-04-29,170.1727752685547,170.41254980258668,164.84979232078496,166.13498031087425,51286600
